20180301 013600;1.219510;1.219510;1.219330;1.219360;0
20180301 013700;1.219380;1.219570;1.219370;1.219370;0
20180301 013800;1.219360;1.219460;1.219260;1.219290;0
20180301 013900;1.219340;1.219420;1.219220;1.219290;0
20180301 014000;1.219280;1.219290;1.219260;1.219260;0
20180301 014100;1.219270;1.219280;1.219200;1.219200;0
20180301 014200;1.219200;1.219210;1.219180;1.219200;0
20180301 014300;1.219190;1.219210;1.219170;1.219180;0
20180301 014400;1.219190;1.219200;1.219170;1.219200;0
20180301 014500;1.219200;1.219220;1.219180;1.219200;0
20180301 014600;1.219210;1.219280;1.219200;1.219260;0
20180301 014700;1.219260;1.219320;1.219250;1.219270;0
20180301 014800;1.219270;1.219360;1.219260;1.219270;0
20180301 014900;1.219290;1.219600;1.219280;1.219600;0
20180301 015000;1.219580;1.219590;1.219490;1.219550;0
20180301 015100;1.219550;1.220370;1.219550;1.220270;0
20180301 015200;1.220260;1.220500;1.220200;1.220310;0
20180301 015300;1.220330;1.220500;1.220210;1.220310;0
20180301 015400;1.220320;1.220380;1.220220;1.220250;0
20180301 015500;1.220270;1.220530;1.220260;1.220530;0
20180301 015600;1.220540;1.220590;1.220490;1.220560;0
20180301 015700;1.220570;1.220610;1.220540;1.220590;0
20180301 015800;1.220590;1.220600;1.220560;1.220580;0
20180301 015900;1.220570;1.220580;1.220530;1.220550;0
20180301 020000;1.220540;1.220540;1.220300;1.220350;0
20180301 020100;1.220350;1.220430;1.220290;1.220430;0
20180301 020200;1.220440;1.220610;1.220430;1.220510;0
20180301 020300;1.220540;1.220740;1.220480;1.220740;0
20180301 020400;1.220760;1.221080;1.220590;1.220920;0
20180301 020500;1.220930;1.220950;1.220690;1.220780;0
20180301 020600;1.220770;1.221030;1.220750;1.220900;0
20180301 020700;1.220910;1.220940;1.220760;1.220930;0
20180301 020800;1.220930;1.221030;1.220880;1.220980;0
20180301 020900;1.220970;1.220970;1.220600;1.220700;0
20180301 021000;1.220710;1.220920;1.220590;1.220640;0
20180301 021100;1.220690;1.220700;1.220530;1.220560;0
20180301 021200;1.220550;1.220610;1.220510;1.220550;0
20180301 021300;1.220550;1.220570;1.219960;1.220370;0
20180301 021400;1.220360;1.220460;1.220330;1.220450;0
20180301 021500;1.220450;1.220600;1.220290;1.220600;0
20180301 021600;1.220570;1.220710;1.220550;1.220710;0
20180301 021700;1.220690;1.220820;1.220660;1.220760;0
20180301 021800;1.220760;1.220820;1.220450;1.220580;0
20180301 021900;1.220570;1.220570;1.220180;1.220390;0
20180301 022000;1.220400;1.220460;1.220390;1.220450;0
20180301 022100;1.220450;1.220700;1.220450;1.220700;0
20180301 022200;1.220740;1.221000;1.220740;1.220970;0
20180301 022300;1.220970;1.220970;1.220760;1.220930;0
20180301 022400;1.220920;1.221020;1.220860;1.220950;0
20180301 022500;1.220960;1.221310;1.220900;1.221180;0
20180301 022600;1.221190;1.221220;1.221060;1.221120;0
20180301 022700;1.221150;1.221150;1.220920;1.220950;0
20180301 022800;1.220960;1.221020;1.220840;1.220920;0
20180301 022900;1.220930;1.220930;1.220810;1.220810;0
20180301 023000;1.220790;1.220910;1.220790;1.220910;0
20180301 023100;1.220930;1.221010;1.220880;1.220910;0
20180301 023200;1.220900;1.220960;1.220810;1.220850;0
20180301 023300;1.220850;1.220850;1.220590;1.220610;0
20180301 023400;1.220640;1.220800;1.220640;1.220760;0
20180301 023500;1.220750;1.220860;1.220620;1.220850;0
20180301 023600;1.220850;1.220940;1.220680;1.220860;0
20180301 023700;1.220840;1.220840;1.220660;1.220750;0
20180301 023800;1.220760;1.220950;1.220730;1.220730;0
20180301 023900;1.220740;1.220800;1.220420;1.220420;0
20180301 024000;1.220430;1.220670;1.220390;1.220560;0
20180301 024100;1.220580;1.220850;1.220580;1.220800;0
20180301 024200;1.220800;1.220820;1.220670;1.220680;0
20180301 024300;1.220670;1.220760;1.220640;1.220760;0
20180301 024400;1.220750;1.220880;1.220720;1.220860;0
20180301 024500;1.220870;1.220990;1.220840;1.220960;0
20180301 024600;1.220960;1.221170;1.220940;1.221100;0
20180301 024700;1.221100;1.221100;1.220790;1.220810;0
20180301 024800;1.220810;1.220870;1.220640;1.220640;0
20180301 024900;1.220630;1.220840;1.220540;1.220800;0
20180301 025000;1.220790;1.220790;1.220690;1.220730;0
20180301 025100;1.220740;1.221060;1.220740;1.220810;0
20180301 025200;1.220840;1.220850;1.220650;1.220680;0
20180301 025300;1.220670;1.221110;1.220570;1.221100;0
20180301 025400;1.221050;1.221160;1.220880;1.220900;0
20180301 025500;1.220900;1.220900;1.220460;1.220480;0
20180301 025600;1.220470;1.220580;1.220360;1.220390;0
20180301 025700;1.220370;1.220410;1.220180;1.220280;0
20180301 025800;1.220270;1.220320;1.220090;1.220160;0
20180301 025900;1.220170;1.220170;1.219990;1.220020;0
20180301 030000;1.220030;1.220290;1.219910;1.220250;0
20180301 030100;1.220220;1.220410;1.219990;1.220010;0
20180301 030200;1.220020;1.220020;1.219510;1.219510;0
20180301 030300;1.219500;1.219700;1.219250;1.219630;0
20180301 030400;1.219620;1.219790;1.219620;1.219640;0
20180301 030500;1.219630;1.219750;1.219480;1.219530;0
20180301 030600;1.219510;1.219620;1.219390;1.219510;0
20180301 030700;1.219490;1.219650;1.219350;1.219390;0
20180301 030800;1.219410;1.219670;1.219260;1.219560;0
20180301 030900;1.219560;1.219720;1.219560;1.219670;0
20180301 031000;1.219660;1.219680;1.219480;1.219610;0
20180301 031100;1.219600;1.219920;1.219600;1.219850;0
20180301 031200;1.219860;1.220060;1.219810;1.220060;0
20180301 031300;1.220050;1.220050;1.219860;1.219910;0
20180301 031400;1.219900;1.219900;1.219710;1.219800;0
20180301 031500;1.219810;1.220130;1.219760;1.220070;0
20180301 031600;1.220060;1.220410;1.220060;1.220330;0
20180301 031700;1.220320;1.220320;1.220070;1.220080;0
20180301 031800;1.220080;1.220230;1.219980;1.220170;0
20180301 031900;1.220190;1.220380;1.220010;1.220020;0
20180301 032000;1.220040;1.220520;1.220000;1.220440;0
20180301 032100;1.220450;1.220560;1.220200;1.220320;0
20180301 032200;1.220310;1.220440;1.220190;1.220420;0
20180301 032300;1.220400;1.220400;1.220180;1.220190;0
20180301 032400;1.220200;1.220270;1.220000;1.220080;0
20180301 032500;1.220080;1.220120;1.220010;1.220120;0
20180301 032600;1.220120;1.220290;1.220030;1.220030;0
20180301 032700;1.220030;1.220210;1.220000;1.220190;0
20180301 032800;1.220180;1.220220;1.220050;1.220210;0
20180301 032900;1.220210;1.220340;1.220190;1.220200;0
20180301 033000;1.220200;1.220270;1.220060;1.220110;0
20180301 033100;1.220100;1.220360;1.220100;1.220150;0
20180301 033200;1.220140;1.220140;1.220000;1.220060;0
20180301 033300;1.220070;1.220070;1.219980;1.220020;0
20180301 033400;1.220060;1.220150;1.220020;1.220020;0
20180301 033500;1.220070;1.220170;1.219900;1.220130;0
20180301 033600;1.220110;1.220130;1.220010;1.220010;0
20180301 033700;1.220000;1.220030;1.219640;1.219740;0
20180301 033800;1.219750;1.219980;1.219740;1.219830;0
20180301 033900;1.219820;1.220100;1.219810;1.220020;0
20180301 034000;1.220020;1.220020;1.219870;1.219950;0
20180301 034100;1.219950;1.220020;1.219860;1.219880;0
20180301 034200;1.219870;1.219990;1.219770;1.219880;0
20180301 034300;1.219880;1.219960;1.219680;1.219960;0
20180301 034400;1.219970;1.220140;1.219940;1.220110;0
20180301 034500;1.220100;1.220110;1.219840;1.219990;0
20180301 034600;1.219980;1.219980;1.219750;1.219770;0
20180301 034700;1.219770;1.219770;1.219530;1.219610;0
20180301 034800;1.219600;1.219670;1.219280;1.219340;0
20180301 034900;1.219380;1.219680;1.219370;1.219680;0
20180301 035000;1.219680;1.219710;1.219350;1.219390;0
20180301 035100;1.219410;1.219460;1.219150;1.219300;0
20180301 035200;1.219290;1.219310;1.219100;1.219270;0
20180301 035300;1.219250;1.219610;1.219230;1.219590;0
20180301 035400;1.219580;1.219580;1.219360;1.219440;0
20180301 035500;1.219450;1.219510;1.219250;1.219300;0
20180301 035600;1.219300;1.219410;1.219270;1.219390;0
20180301 035700;1.219380;1.219410;1.219270;1.219340;0
20180301 035800;1.219370;1.219520;1.219330;1.219520;0
20180301 035900;1.219540;1.219830;1.219540;1.219710;0
20180301 040000;1.219710;1.219730;1.219170;1.219260;0
20180301 040100;1.219280;1.219450;1.219180;1.219260;0
20180301 040200;1.219260;1.219260;1.219180;1.219190;0
20180301 040300;1.219200;1.219370;1.218970;1.218980;0
20180301 040400;1.218980;1.219090;1.218770;1.219030;0
20180301 040500;1.219020;1.219030;1.218570;1.218640;0
20180301 040600;1.218660;1.218720;1.218580;1.218600;0
20180301 040700;1.218610;1.218880;1.218560;1.218850;0
20180301 040800;1.218860;1.218970;1.218790;1.218790;0
20180301 040900;1.218810;1.219170;1.218810;1.219140;0
20180301 041000;1.219130;1.219160;1.218910;1.218930;0
20180301 041100;1.218910;1.218990;1.218810;1.218970;0
20180301 041200;1.218960;1.219020;1.218720;1.218810;0
20180301 041300;1.218820;1.218830;1.218810;1.218830;0
20180301 041400;1.218850;1.219140;1.218850;1.219070;0
20180301 041500;1.219080;1.219120;1.218850;1.218870;0
20180301 041600;1.218890;1.219020;1.218850;1.218850;0
20180301 041700;1.218830;1.218930;1.218780;1.218910;0
20180301 041800;1.218890;1.218980;1.218890;1.218910;0
20180301 041900;1.218970;1.219190;1.218970;1.219170;0
20180301 042000;1.219160;1.219190;1.218880;1.218890;0
20180301 042100;1.218890;1.218900;1.218660;1.218670;0
20180301 042200;1.218660;1.218800;1.218660;1.218710;0
20180301 042300;1.218700;1.218800;1.218610;1.218720;0
20180301 042400;1.218710;1.218710;1.218610;1.218680;0
20180301 042500;1.218690;1.219030;1.218690;1.218880;0
20180301 042600;1.218880;1.218950;1.218830;1.218910;0
20180301 042700;1.218900;1.218900;1.218810;1.218810;0
20180301 042800;1.218800;1.218880;1.218710;1.218880;0
20180301 042900;1.218860;1.218920;1.218810;1.218880;0
20180301 043000;1.218900;1.218920;1.218850;1.218870;0
20180301 043100;1.218850;1.219010;1.218840;1.218880;0
20180301 043200;1.218890;1.219100;1.218870;1.218870;0
20180301 043300;1.218850;1.218920;1.218700;1.218800;0
20180301 043400;1.218820;1.218820;1.218550;1.218710;0
20180301 043500;1.218720;1.218810;1.218560;1.218610;0
20180301 043600;1.218610;1.218620;1.218340;1.218420;0
20180301 043700;1.218400;1.218510;1.218370;1.218420;0
20180301 043800;1.218420;1.218420;1.218150;1.218210;0
20180301 043900;1.218230;1.218550;1.218200;1.218430;0
20180301 044000;1.218420;1.218420;1.218130;1.218140;0
20180301 044100;1.218130;1.218380;1.218100;1.218380;0
20180301 044200;1.218390;1.218430;1.218110;1.218120;0
20180301 044300;1.218110;1.218130;1.217990;1.217990;0
20180301 044400;1.218000;1.218130;1.218000;1.218130;0
20180301 044500;1.218150;1.218400;1.218150;1.218390;0
20180301 044600;1.218380;1.218490;1.218300;1.218490;0
20180301 044700;1.218470;1.218700;1.218470;1.218680;0
20180301 044800;1.218670;1.218670;1.218300;1.218360;0
20180301 044900;1.218370;1.218410;1.218290;1.218340;0
20180301 045000;1.218340;1.218340;1.218120;1.218150;0
20180301 045100;1.218150;1.218170;1.218000;1.218070;0
20180301 045200;1.218090;1.218210;1.218000;1.218210;0
20180301 045300;1.218210;1.218260;1.218120;1.218150;0
20180301 045400;1.218150;1.218220;1.218050;1.218060;0
20180301 045500;1.218080;1.218190;1.218030;1.218050;0
20180301 045600;1.218070;1.218100;1.217990;1.218070;0
20180301 045700;1.218070;1.218110;1.218000;1.218020;0
20180301 045800;1.218030;1.218110;1.218030;1.218070;0
20180301 045900;1.218080;1.218240;1.218060;1.218140;0
20180301 050000;1.218150;1.218170;1.217990;1.218060;0
20180301 050100;1.218070;1.218150;1.218000;1.218010;0
20180301 050200;1.218020;1.218300;1.218010;1.218270;0
20180301 050300;1.218270;1.218490;1.218160;1.218160;0
20180301 050400;1.218160;1.218440;1.218080;1.218440;0
20180301 050500;1.218470;1.218510;1.218210;1.218280;0
20180301 050600;1.218300;1.218530;1.218280;1.218430;0
20180301 050700;1.218440;1.218570;1.218400;1.218550;0
20180301 050800;1.218550;1.218840;1.218550;1.218830;0
20180301 050900;1.218840;1.218970;1.218830;1.218970;0
20180301 051000;1.218970;1.219050;1.218890;1.218960;0
20180301 051100;1.218970;1.219000;1.218660;1.218720;0
20180301 051200;1.218730;1.218830;1.218650;1.218650;0
20180301 051300;1.218680;1.219000;1.218640;1.218910;0
20180301 051400;1.218890;1.218890;1.218650;1.218700;0
20180301 051500;1.218720;1.218770;1.218550;1.218710;0
20180301 051600;1.218750;1.218960;1.218740;1.218750;0
20180301 051700;1.218720;1.219100;1.218660;1.219100;0
20180301 051800;1.219060;1.219090;1.218950;1.219030;0
20180301 051900;1.219030;1.219030;1.218720;1.218780;0
20180301 052000;1.218790;1.218980;1.218780;1.218880;0
20180301 052100;1.218890;1.218990;1.218880;1.218960;0
20180301 052200;1.218950;1.218950;1.218760;1.218870;0
20180301 052300;1.218880;1.218970;1.218870;1.218970;0
20180301 052400;1.218970;1.219170;1.218970;1.219120;0
20180301 052500;1.219120;1.219320;1.219050;1.219070;0
20180301 052600;1.219060;1.219090;1.218790;1.218810;0
20180301 052700;1.218800;1.218850;1.218670;1.218730;0
20180301 052800;1.218730;1.218810;1.218730;1.218740;0
20180301 052900;1.218730;1.218880;1.218690;1.218880;0
20180301 053000;1.218870;1.219130;1.218870;1.218940;0
20180301 053100;1.218930;1.218960;1.218880;1.218880;0
20180301 053200;1.218920;1.218970;1.218890;1.218890;0
20180301 053300;1.218890;1.218940;1.218830;1.218840;0
20180301 053400;1.218830;1.218980;1.218810;1.218890;0
20180301 053500;1.218900;1.219090;1.218900;1.219040;0
20180301 053600;1.219030;1.219040;1.218860;1.218890;0
20180301 053700;1.218900;1.218970;1.218900;1.218930;0
20180301 053800;1.218890;1.218930;1.218870;1.218890;0
20180301 053900;1.218830;1.218950;1.218710;1.218890;0
20180301 054000;1.218920;1.219010;1.218760;1.218830;0
20180301 054100;1.218820;1.218820;1.218730;1.218730;0
20180301 054200;1.218740;1.219110;1.218710;1.219060;0
20180301 054300;1.219060;1.219060;1.218790;1.218870;0
20180301 054400;1.218850;1.219250;1.218750;1.219210;0
20180301 054500;1.219200;1.219210;1.219040;1.219200;0
20180301 054600;1.219190;1.219230;1.219120;1.219230;0
